mtcars
id
mpg
cyl
disp
hp
drat
;
Mazda RX4;          21.0;   6; 160.0; 110; 3.90
Mazda RX4 Wag;      21.0;   6; 160.0; 110; 3.90
Datsun 710;         22.8;   4; 108.0;  93; 3.85
Hornet 4 Drive;     21.4;   6; 258.0; 110; 3.08
Hornet Sportabout;  18.7;   8; 360.0; 175; 3.15
Valiant;            18.1;   6; 225.0; 105; 2.76
Duster 360;         14.3;   8; 360.0; 245; 3.21
Merc 240D;          24.4;   4; 146.7;  62; 3.69
Merc 230;           22.8;   4; 140.8;  95; 3.92
Merc 280;           19.2;   6; 167.6; 123; 3.92
Merc 280C;          17.8;   6; 167.6; 123; 3.92
Merc 450SE;         16.4;   8; 275.8; 180; 3.07
Merc 450SL;         17.3;   8; 275.8; 180; 3.07
Merc 450SLC;        15.2;   8; 275.8; 180; 3.07
Cadillac Fleetwood; 10.4;   8; 472.0; 205; 2.93
